ACE, KING, QUEEN, JACK, TEN, SF, Royal Flush, true, 1 
KING, QUEEN, JACK, TEN, NINE, SF, King-High Straight Flush, true, 2 
QUEEN, JACK, TEN, NINE, EIGHT, SF, Queen-High Straight Flush, true, 3 
JACK, TEN, NINE, EIGHT, SEVEN, SF, Jack-High Straight Flush, true, 4 
TEN, NINE, EIGHT, SEVEN, SIX, SF, Ten-High Straight Flush, true, 5 
NINE, EIGHT, SEVEN, SIX, FIVE, SF, Nine-High Straight Flush, true, 6 
EIGHT, SEVEN, SIX, FIVE, FOUR, SF, Eight-High Straight Flush, true, 7 
SEVEN, SIX, FIVE, FOUR, THREE, SF, Seven-High Straight Flush, true, 8 
SIX, FIVE, FOUR, THREE, DEUCE, SF, Six-High Straight Flush, true, 9 
FIVE, FOUR, THREE, DEUCE, ACE, SF, Five-High Straight Flush, true, 10 
ACE, ACE, ACE, ACE, KING, 4K, Four Aces, false, 11 
ACE, ACE, ACE, ACE, QUEEN, 4K, Four Aces, false, 12 
ACE, ACE, ACE, ACE, JACK, 4K, Four Aces, false, 13 
ACE, ACE, ACE, ACE, TEN, 4K, Four Aces, false, 14 
ACE, ACE, ACE, ACE, NINE, 4K, Four Aces, false, 15 
ACE, ACE, ACE, ACE, EIGHT, 4K, Four Aces, false, 16 
ACE, ACE, ACE, ACE, SEVEN, 4K, Four Aces, false, 17 
ACE, ACE, ACE, ACE, SIX, 4K, Four Aces, false, 18 
ACE, ACE, ACE, ACE, FIVE, 4K, Four Aces, false, 19 
ACE, ACE, ACE, ACE, FOUR, 4K, Four Aces, false, 20 
ACE, ACE, ACE, ACE, THREE, 4K, Four Aces, false, 21 
ACE, ACE, ACE, ACE, DEUCE, 4K, Four Aces, false, 22 
KING, KING, KING, KING, ACE, 4K, Four Kings, false, 23 
KING, KING, KING, KING, QUEEN, 4K, Four Kings, false, 24 
KING, KING, KING, KING, JACK, 4K, Four Kings, false, 25 
KING, KING, KING, KING, TEN, 4K, Four Kings, false, 26 
KING, KING, KING, KING, NINE, 4K, Four Kings, false, 27 
KING, KING, KING, KING, EIGHT, 4K, Four Kings, false, 28 
KING, KING, KING, KING, SEVEN, 4K, Four Kings, false, 29 
KING, KING, KING, KING, SIX, 4K, Four Kings, false, 30 
KING, KING, KING, KING, FIVE, 4K, Four Kings, false, 31 
KING, KING, KING, KING, FOUR, 4K, Four Kings, false, 32 
KING, KING, KING, KING, THREE, 4K, Four Kings, false, 33 
KING, KING, KING, KING, DEUCE, 4K, Four Kings, false, 34 
QUEEN, QUEEN, QUEEN, QUEEN, ACE, 4K, Four Queens, false, 35 
QUEEN, QUEEN, QUEEN, QUEEN, KING, 4K, Four Queens, false, 36 
QUEEN, QUEEN, QUEEN, QUEEN, JACK, 4K, Four Queens, false, 37 
QUEEN, QUEEN, QUEEN, QUEEN, TEN, 4K, Four Queens, false, 38 
QUEEN, QUEEN, QUEEN, QUEEN, NINE, 4K, Four Queens, false, 39 
QUEEN, QUEEN, QUEEN, QUEEN, EIGHT, 4K, Four Queens, false, 40 
QUEEN, QUEEN, QUEEN, QUEEN, SEVEN, 4K, Four Queens, false, 41 
QUEEN, QUEEN, QUEEN, QUEEN, SIX, 4K, Four Queens, false, 42 
QUEEN, QUEEN, QUEEN, QUEEN, FIVE, 4K, Four Queens, false, 43 
QUEEN, QUEEN, QUEEN, QUEEN, FOUR, 4K, Four Queens, false, 44 
QUEEN, QUEEN, QUEEN, QUEEN, THREE, 4K, Four Queens, false, 45 
QUEEN, QUEEN, QUEEN, QUEEN, DEUCE, 4K, Four Queens, false, 46 
JACK, JACK, JACK, JACK, ACE, 4K, Four Jacks, false, 47 
JACK, JACK, JACK, JACK, KING, 4K, Four Jacks, false, 48 
JACK, JACK, JACK, JACK, QUEEN, 4K, Four Jacks, false, 49 
JACK, JACK, JACK, JACK, TEN, 4K, Four Jacks, false, 50 
JACK, JACK, JACK, JACK, NINE, 4K, Four Jacks, false, 51 
JACK, JACK, JACK, JACK, EIGHT, 4K, Four Jacks, false, 52 
JACK, JACK, JACK, JACK, SEVEN, 4K, Four Jacks, false, 53 
JACK, JACK, JACK, JACK, SIX, 4K, Four Jacks, false, 54 
JACK, JACK, JACK, JACK, FIVE, 4K, Four Jacks, false, 55 
JACK, JACK, JACK, JACK, FOUR, 4K, Four Jacks, false, 56 
JACK, JACK, JACK, JACK, THREE, 4K, Four Jacks, false, 57 
JACK, JACK, JACK, JACK, DEUCE, 4K, Four Jacks, false, 58 
TEN, TEN, TEN, TEN, ACE, 4K, Four Tens, false, 59 
TEN, TEN, TEN, TEN, KING, 4K, Four Tens, false, 60 
TEN, TEN, TEN, TEN, QUEEN, 4K, Four Tens, false, 61 
TEN, TEN, TEN, TEN, JACK, 4K, Four Tens, false, 62 
TEN, TEN, TEN, TEN, NINE, 4K, Four Tens, false, 63 
TEN, TEN, TEN, TEN, EIGHT, 4K, Four Tens, false, 64 
TEN, TEN, TEN, TEN, SEVEN, 4K, Four Tens, false, 65 
TEN, TEN, TEN, TEN, SIX, 4K, Four Tens, false, 66 
TEN, TEN, TEN, TEN, FIVE, 4K, Four Tens, false, 67 
TEN, TEN, TEN, TEN, FOUR, 4K, Four Tens, false, 68 
TEN, TEN, TEN, TEN, THREE, 4K, Four Tens, false, 69 
TEN, TEN, TEN, TEN, DEUCE, 4K, Four Tens, false, 70 
NINE, NINE, NINE, NINE, ACE, 4K, Four Nines, false, 71 
NINE, NINE, NINE, NINE, KING, 4K, Four Nines, false, 72 
NINE, NINE, NINE, NINE, QUEEN, 4K, Four Nines, false, 73 
NINE, NINE, NINE, NINE, JACK, 4K, Four Nines, false, 74 
NINE, NINE, NINE, NINE, TEN, 4K, Four Nines, false, 75 
NINE, NINE, NINE, NINE, EIGHT, 4K, Four Nines, false, 76 
NINE, NINE, NINE, NINE, SEVEN, 4K, Four Nines, false, 77 
NINE, NINE, NINE, NINE, SIX, 4K, Four Nines, false, 78 
NINE, NINE, NINE, NINE, FIVE, 4K, Four Nines, false, 79 
NINE, NINE, NINE, NINE, FOUR, 4K, Four Nines, false, 80 
NINE, NINE, NINE, NINE, THREE, 4K, Four Nines, false, 81 
NINE, NINE, NINE, NINE, DEUCE, 4K, Four Nines, false, 82 
EIGHT, EIGHT, EIGHT, EIGHT, ACE, 4K, Four Eights, false, 83 
EIGHT, EIGHT, EIGHT, EIGHT, KING, 4K, Four Eights, false, 84 
EIGHT, EIGHT, EIGHT, EIGHT, QUEEN, 4K, Four Eights, false, 85 
EIGHT, EIGHT, EIGHT, EIGHT, JACK, 4K, Four Eights, false, 86 
EIGHT, EIGHT, EIGHT, EIGHT, TEN, 4K, Four Eights, false, 87 
EIGHT, EIGHT, EIGHT, EIGHT, NINE, 4K, Four Eights, false, 88 
EIGHT, EIGHT, EIGHT, EIGHT, SEVEN, 4K, Four Eights, false, 89 
EIGHT, EIGHT, EIGHT, EIGHT, SIX, 4K, Four Eights, false, 90 
EIGHT, EIGHT, EIGHT, EIGHT, FIVE, 4K, Four Eights, false, 91 
EIGHT, EIGHT, EIGHT, EIGHT, FOUR, 4K, Four Eights, false, 92 
EIGHT, EIGHT, EIGHT, EIGHT, THREE, 4K, Four Eights, false, 93 
EIGHT, EIGHT, EIGHT, EIGHT, DEUCE, 4K, Four Eights, false, 94 
SEVEN, SEVEN, SEVEN, SEVEN, ACE, 4K, Four Sevens, false, 95 
SEVEN, SEVEN, SEVEN, SEVEN, KING, 4K, Four Sevens, false, 96 
SEVEN, SEVEN, SEVEN, SEVEN, QUEEN, 4K, Four Sevens, false, 97 
SEVEN, SEVEN, SEVEN, SEVEN, JACK, 4K, Four Sevens, false, 98 
SEVEN, SEVEN, SEVEN, SEVEN, TEN, 4K, Four Sevens, false, 99 
SEVEN, SEVEN, SEVEN, SEVEN, NINE, 4K, Four Sevens, false, 100 
SEVEN, SEVEN, SEVEN, SEVEN, EIGHT, 4K, Four Sevens, false, 101 
SEVEN, SEVEN, SEVEN, SEVEN, SIX, 4K, Four Sevens, false, 102 
SEVEN, SEVEN, SEVEN, SEVEN, FIVE, 4K, Four Sevens, false, 103 
SEVEN, SEVEN, SEVEN, SEVEN, FOUR, 4K, Four Sevens, false, 104 
SEVEN, SEVEN, SEVEN, SEVEN, THREE, 4K, Four Sevens, false, 105 
SEVEN, SEVEN, SEVEN, SEVEN, DEUCE, 4K, Four Sevens, false, 106 
SIX, SIX, SIX, SIX, ACE, 4K, Four Sixes, false, 107 
SIX, SIX, SIX, SIX, KING, 4K, Four Sixes, false, 108 
SIX, SIX, SIX, SIX, QUEEN, 4K, Four Sixes, false, 109 
SIX, SIX, SIX, SIX, JACK, 4K, Four Sixes, false, 110 
SIX, SIX, SIX, SIX, TEN, 4K, Four Sixes, false, 111 
SIX, SIX, SIX, SIX, NINE, 4K, Four Sixes, false, 112 
SIX, SIX, SIX, SIX, EIGHT, 4K, Four Sixes, false, 113 
SIX, SIX, SIX, SIX, SEVEN, 4K, Four Sixes, false, 114 
SIX, SIX, SIX, SIX, FIVE, 4K, Four Sixes, false, 115 
SIX, SIX, SIX, SIX, FOUR, 4K, Four Sixes, false, 116 
SIX, SIX, SIX, SIX, THREE, 4K, Four Sixes, false, 117 
SIX, SIX, SIX, SIX, DEUCE, 4K, Four Sixes, false, 118 
FIVE, FIVE, FIVE, FIVE, ACE, 4K, Four Fives, false, 119 
FIVE, FIVE, FIVE, FIVE, KING, 4K, Four Fives, false, 120 
FIVE, FIVE, FIVE, FIVE, QUEEN, 4K, Four Fives, false, 121 
FIVE, FIVE, FIVE, FIVE, JACK, 4K, Four Fives, false, 122 
FIVE, FIVE, FIVE, FIVE, TEN, 4K, Four Fives, false, 123 
FIVE, FIVE, FIVE, FIVE, NINE, 4K, Four Fives, false, 124 
FIVE, FIVE, FIVE, FIVE, EIGHT, 4K, Four Fives, false, 125 
FIVE, FIVE, FIVE, FIVE, SEVEN, 4K, Four Fives, false, 126 
FIVE, FIVE, FIVE, FIVE, SIX, 4K, Four Fives, false, 127 
FIVE, FIVE, FIVE, FIVE, FOUR, 4K, Four Fives, false, 128 
FIVE, FIVE, FIVE, FIVE, THREE, 4K, Four Fives, false, 129 
FIVE, FIVE, FIVE, FIVE, DEUCE, 4K, Four Fives, false, 130 
FOUR, FOUR, FOUR, FOUR, ACE, 4K, Four Fours, false, 131 
FOUR, FOUR, FOUR, FOUR, KING, 4K, Four Fours, false, 132 
FOUR, FOUR, FOUR, FOUR, QUEEN, 4K, Four Fours, false, 133 
FOUR, FOUR, FOUR, FOUR, JACK, 4K, Four Fours, false, 134 
FOUR, FOUR, FOUR, FOUR, TEN, 4K, Four Fours, false, 135 
FOUR, FOUR, FOUR, FOUR, NINE, 4K, Four Fours, false, 136 
FOUR, FOUR, FOUR, FOUR, EIGHT, 4K, Four Fours, false, 137 
FOUR, FOUR, FOUR, FOUR, SEVEN, 4K, Four Fours, false, 138 
FOUR, FOUR, FOUR, FOUR, SIX, 4K, Four Fours, false, 139 
FOUR, FOUR, FOUR, FOUR, FIVE, 4K, Four Fours, false, 140 
FOUR, FOUR, FOUR, FOUR, THREE, 4K, Four Fours, false, 141 
FOUR, FOUR, FOUR, FOUR, DEUCE, 4K, Four Fours, false, 142 
THREE, THREE, THREE, THREE, ACE, 4K, Four Treys, false, 143 
THREE, THREE, THREE, THREE, KING, 4K, Four Treys, false, 144 
THREE, THREE, THREE, THREE, QUEEN, 4K, Four Treys, false, 145 
THREE, THREE, THREE, THREE, JACK, 4K, Four Treys, false, 146 
THREE, THREE, THREE, THREE, TEN, 4K, Four Treys, false, 147 
THREE, THREE, THREE, THREE, NINE, 4K, Four Treys, false, 148 
THREE, THREE, THREE, THREE, EIGHT, 4K, Four Treys, false, 149 
THREE, THREE, THREE, THREE, SEVEN, 4K, Four Treys, false, 150 
THREE, THREE, THREE, THREE, SIX, 4K, Four Treys, false, 151 
THREE, THREE, THREE, THREE, FIVE, 4K, Four Treys, false, 152 
THREE, THREE, THREE, THREE, FOUR, 4K, Four Treys, false, 153 
